	Desc	Paliwo	Stan	Rok	Przebieg	Cena
1446	BMW X4 I [F26] 20d xDrive / Kamery 360 / HAK / Head Up / Pakiet serwisowy	diesel	bezwypadkowy	2015.0	35500.0	149900.0
1447	BMW SERIA 5 170KM Individual Xenon Skóry Navi Szyberdach Jedyna Taka Niemcy	benzyna	bezwypadkowy	2003.0	183000.0	24900.0
1448	BMW SERIA 5 Luxury xDrive 190KM Xenon Led Navi Skóra Lift Jak Nowy !!!	diesel	bezwypadkowy	2014.0	278243.0	62999.0
1449	BMW SERIA 7 730 FV vat 23% surraund view/ Night Vision/ head up kmera/	diesel	bezwypadkowy	2017.0	4500.0	389000.0
1450	BMW SERIA 5 520 2.0d ! Mpakiet ! XDRIVE ! Nawigacja ! Z polskiego salonu ! FV23%	diesel	bezwypadkowy	2016.0	63000.0	129900.0
1451	BMW SERIA 7 Salon Polska,drugi właś, stan idealny, pełna możliwa opcja.	diesel	bezwypadkowy	2009.0	180000.0	73900.0
1452	BMW SERIA 3 320 2 Komplety kół! xDrive, M-Pakiet, Navi, BiXenon, Bezwypadek, GWA	diesel	bezwypadkowy	2010.0	197000.0	36499.0
1453	BMW SERIA 7 750 LONG bezwypadkowa z Niemiec świeżo zarejestrowana w Polsce	benzyna	bezwypadkowy	2009.0	206000.0	78000.0
1454	BMW SERIA 3 325 i 3.0 218KM Sedan Automat -Serwis ASO -FILM VIDEO -Zobacz	benzyna	sprawny	2010.0	130000.0	41900.0
1455	BMW X1 I (E84) skórzana tapicerka, xenon, grzane fotele, GWARANCJA 2 LATA!	diesel	bezwypadkowy	2011.0	230241.0	41900.0
